ï»¿Run_DateTime,Date,UTC_Date,TempA,TempM,DewPointA,DewPointM,Humidity,WindSpeedA,WindSpeedM,WindGustA,WindGustM,WindDir,VisibilityA,VisibilityM,PressureA,PressureM,WindChillA,WindChillM,HeatIndexA,HeatIndexM,PrecipA,PrecipM,Condition,Fog,Rain,Snow,Hail,Thunder,Tornado
13:26.1,51:00.0,51:00.0,42.1,5.6,28.9,-1.7,60,5.8,9.3,-9999,-9999,240,7,11.3,30.13,1020.2,38.4,3.6,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,43,6.1,28.9,-1.7,58,8.1,13,-9999,-9999,240,7,11.3,30.12,1019.9,38.2,3.4,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,42.1,5.6,28.9,-1.7,60,4.6,7.4,-9999,-9999,260,7,11.3,30.12,1019.8,39.2,4,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,41,5,30,-1.1,65,3.5,5.6,-9999,-9999,260,7,11.3,30.12,1019.8,39,3.9,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,41,5,28.9,-1.7,62,4.6,7.4,-9999,-9999,0,6,9.7,30.11,1019.6,38,3.3,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,41,5,30,-1.1,65,4.6,7.4,-9999,-9999,0,6,9.7,30.12,1019.9,38,3.3,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,41,5,30,-1.1,65,0,0,-9999,-9999,0,6,9.7,30.11,1019.6,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,41,5,30,-1.1,65,0,0,-9999,-9999,0,5,8,30.12,1020,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,43,6.1,30.9,-0.6,62,0,0,-9999,-9999,0,5,8,30.14,1020.4,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,46.9,8.3,30.9,-0.6,54,0,0,-9999,-9999,0,5,8,30.12,1019.9,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,48.9,9.4,30.9,-0.6,50,0,0,-9999,-9999,0,5,8,30.12,1020,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,51.1,10.6,33.1,0.6,50,0,0,-9999,-9999,0,6,9.7,30.09,1019,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,50,10,36,2.2,59,6.9,11.1,-9999,-9999,0,6,9.7,30.07,1018.3,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,52,11.1,37.9,3.3,59,3.5,5.6,-9999,-9999,0,5,8,30.05,1017.4,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,52,11.1,39,3.9,61,4.6,7.4,-9999,-9999,0,5,8,30.04,1017.3,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,48.9,9.4,37,2.8,64,5.8,9.3,-9999,-9999,150,5,8,30.04,1017.1,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,44:00.0,44:00.0,46.4,8,37.4,3,71,0,0,-9999,-9999,0,6,9.7,30.05,1017.5,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,46.9,8.3,36,2.2,66,4.6,7.4,-9999,-9999,50,6,9.7,30.02,1016.6,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,46,7.8,37,2.8,71,3.5,5.6,-9999,-9999,30,6,9.7,30.03,1016.8,44.8,7.1,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,46,7.8,39,3.9,76,0,0,-9999,-9999,0,6,9.7,30.02,1016.5,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,46,7.8,39.9,4.4,79,0,0,-9999,-9999,0,6,9.7,30.01,1016,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,46.9,8.3,41,5,80,4.6,7.4,-9999,-9999,0,6,9.7,30.01,1016.1,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,51.1,10.6,46,7.8,83,5.8,9.3,-9999,-9999,0,7,11.3,30,1015.9,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,51.1,10.6,45,7.2,80,3.5,5.6,-9999,-9999,0,7,11.3,29.99,1015.6,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,46.9,8.3,41,5,80,3.5,5.6,-9999,-9999,0,6,9.7,29.98,1015.2,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,46.9,8.3,42.1,5.6,83,0,0,-9999,-9999,0,6,9.7,29.96,1014.6,-9999,-9999,-9999,-9999,-9999,-9999,Haze,0,0,0,0,0,0
13:26.1,48:00.0,48:00.0,46.4,8,42.8,6,87,0,0,-9999,-9999,0,3,4.8,29.97,1014.8,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,46,7.8,43,6.1,89,3.5,5.6,-9999,-9999,40,3,4.8,29.95,1014.1,44.8,7.1,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,06:00.0,06:00.0,44.6,7,42.8,6,93,0,0,-9999,-9999,0,2.5,4,29.97,1014.8,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,20:00.0,20:00.0,44.6,7,42.8,6,93,0,0,-9999,-9999,0,3,4.8,29.97,1014.8,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,46,7.8,43,6.1,89,3.5,5.6,-9999,-9999,0,2.5,4,29.94,1013.8,44.8,7.1,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,08:00.0,08:00.0,46.4,8,44.6,7,93,0,0,-9999,-9999,0,3,4.8,29.96,1014.4,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,17:00.0,17:00.0,46.4,8,44.6,7,93,3.5,5.6,-9999,-9999,0,2.5,4,29.96,1014.4,45.2,7.3,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,30:00.0,30:00.0,48.2,9,46.4,8,93,0,0,-9999,-9999,0,1.8,2.8,29.95,1014.1,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,45,7.2,44.1,6.7,97,4.6,7.4,-9999,-9999,50,2,3.2,29.92,1013.1,42.6,5.9,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,31:00.0,31:00.0,46.4,8,44.6,7,93,0,0,-9999,-9999,0,1.5,2.4,29.95,1014.1,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,48.9,9.4,46.9,8.3,93,4.6,7.4,-9999,-9999,0,1,1.6,29.93,1013.3,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,29:00.0,29:00.0,48.2,9,46.4,8,93,3.5,5.6,-9999,-9999,260,0.8,1.2,29.95,1014.1,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,48.9,9.4,48,8.9,97,3.5,5.6,-9999,-9999,0,0.5,0.8,29.93,1013.5,-9999,-9999,-9999,-9999,0.01,0.3,Light Rain,1,1,0,0,0,0
13:26.1,05:00.0,05:00.0,50,10,48.2,9,94,4.6,7.4,-9999,-9999,0,1.2,2,29.95,1014.1,-9999,-9999,-9999,-9999,0,0,Overcast,0,0,0,0,0,0
13:26.1,25:00.0,25:00.0,50,10,48.2,9,94,3.5,5.6,-9999,-9999,0,0.8,1.2,29.95,1014.1,-9999,-9999,-9999,-9999,0,0,Overcast,0,0,0,0,0,0
13:26.1,35:00.0,35:00.0,50,10,48.2,9,94,4.6,7.4,-9999,-9999,270,1.8,2.8,29.96,1014.4,-9999,-9999,-9999,-9999,0,0,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,48.9,9.4,46.9,8.3,93,5.8,9.3,-9999,-9999,260,1.8,2.8,29.95,1014,-9999,-9999,-9999,-9999,0,0,Overcast,0,0,0,0,0,0
13:26.1,32:00.0,32:00.0,48.2,9,46.4,8,93,3.5,5.6,-9999,-9999,0,2.5,4,29.98,1015.1,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,50:00.0,50:00.0,48,8.9,46.9,8.3,96,5.8,9.3,-9999,-9999,280,1.8,2.8,29.96,1014.6,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,23:00.0,23:00.0,48.2,9,46.4,8,93,3.5,5.6,-9999,-9999,0,2,3.2,29.98,1015.1,-9999,-9999,-9999,-9999,0,0,Light Rain,0,1,0,0,0,0
13:26.1,39:00.0,39:00.0,48.2,9,46.4,8,93,0,0,-9999,-9999,0,4,6.4,29.99,1015.5,-9999,-9999,-9999,-9999,0,0,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,48.9,9.4,46.9,8.3,93,3.5,5.6,-9999,-9999,260,4,6.4,29.97,1014.8,-9999,-9999,-9999,-9999,0,0,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,48.9,9.4,46,7.8,90,0,0,-9999,-9999,0,7,11.3,29.98,1015.1,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,50,10,44.1,6.7,80,4.6,7.4,-9999,-9999,0,9,14.5,29.98,1015,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,50,10,44.1,6.7,80,4.6,7.4,-9999,-9999,0,8,12.9,29.95,1014.1,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,51.1,10.6,41,5,68,4.6,7.4,-9999,-9999,0,10,16.1,29.91,1012.8,-9999,-9999,-9999,-9999,0,0,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,51.1,10.6,39,3.9,63,5.8,9.3,-9999,-9999,0,10,16.1,29.91,1012.6,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,50,10,37.9,3.3,63,4.6,7.4,-9999,-9999,30,10,16.1,29.88,1011.6,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,48.9,9.4,33.1,0.6,54,0,0,-9999,-9999,0,10,16.1,29.89,1012,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,46.9,8.3,34,1.1,61,0,0,-9999,-9999,0,10,16.1,29.86,1011.1,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,46.9,8.3,35.1,1.7,63,6.9,11.1,-9999,-9999,0,10,16.1,29.88,1011.8,-9999,-9999,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,00:00.0,00:00.0,46.4,8,35.6,2,66,3.5,5.6,-9999,-9999,0,10,16.1,29.9,1012.4,45.2,7.3,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,46,7.8,30.9,-0.6,56,5.8,9.3,-9999,-9999,0,10,16.1,29.89,1012.1,43.1,6.2,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,46,7.8,26.1,-3.3,46,8.1,13,-9999,-9999,250,10,16.1,29.91,1012.6,41.9,5.5,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,45,7.2,26.1,-3.3,48,8.1,13,-9999,-9999,330,10,16.1,29.91,1012.6,40.6,4.8,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,39.9,4.4,30.9,-0.6,70,5.8,9.3,16.1,25.9,0,10,16.1,29.94,1013.6,35.8,2.1,-9999,-9999,-9999,-9999,Overcast,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,37.9,3.3,23,-5,55,15,24.1,24.2,38.9,300,10,16.1,29.96,1014.4,29.2,-1.5,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,36,2.2,19.9,-6.7,52,13.8,22.2,19.6,31.5,300,10,16.1,29.96,1014.5,27.1,-2.7,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,34,1.1,18,-7.8,52,9.2,14.8,17.3,27.8,310,10,16.1,29.98,1015,26.6,-3,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,32,0,15.1,-9.4,50,12.7,20.4,23,37,290,10,16.1,30,1015.9,22.5,-5.3,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,30.9,-0.6,12,-11.1,46,12.7,20.4,28.8,46.3,290,10,16.1,30.04,1017.1,21.2,-6,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,30,-1.1,12.9,-10.6,49,10.4,16.7,-9999,-9999,290,10,16.1,30.05,1017.4,21.1,-6.1,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,28.9,-1.7,14,-10,54,9.2,14.8,20.7,33.3,290,10,16.1,30.07,1018.2,20.4,-6.4,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,28.9,-1.7,10.9,-11.7,47,9.2,14.8,25.3,40.7,300,10,16.1,30.1,1019.1,20.4,-6.4,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
